ID,Name,Age,Rank,Unit,FitnessScore,YearsOfService,PromotionEligible
188,Sandeep Deshmukh,29,Captain,Signals Corps,58,8,0
189,Sandeep Thakur,26,Major,Maratha Light Infantry,73,3,0
190,Manoj Kumar,29,Lieutenant,Rajput Regiment,98,2,1
191,Vikram Verma,25,Lieutenant,Para SF,76,1,0
192,Vikram Kumar,55,Colonel,Para SF,78,11,1
193,Ravi Choudhary,48,Captain,Sikh Regiment,58,16,0
194,Arjun Yadav,42,Lieutenant Colonel,Rajput Regiment,76,17,0
195,Vikram Yadav,39,Lieutenant,Rajput Regiment,51,14,0
196,Karan Sharma,34,Captain,Signals Corps,81,3,0
197,Sandeep Yadav,30,Captain,Grenadiers,50,3,0
198,Deepak Thakur,24,Colonel,Grenadiers,74,2,0
199,Anil Singh,28,Lieutenant Colonel,Grenadiers,83,3,0
200,Amit Kumar,27,Colonel,Mechanised Infantry,53,3,0
